Gender,Age,Salary,Purchase_iPhone
Female,29,30247,Yes
Male,21,65024,No
Male,32,94703,No
Female,26,102509,Yes
Female,24,92351,No
Male,39,92035,Yes
Male,35,48124,No
Female,26,64711,Yes
Female,54,24733,Yes
Male,53,35536,Yes
Male,18,113864,Yes
Female,23,26956,Yes
Male,46,106822,Yes
Female,33,60628,Yes
Female,41,42930,No
Female,27,112345,Yes
Female,19,124810,No
Female,25,103047,No
Female,24,108865,No
Male,28,52184,No
Female,26,45229,No
Male,41,57791,No
Female,31,105875,Yes
Male,46,119463,No
Male,53,54736,Yes
Male,27,106912,Yes
Male,50,46378,No
Male,55,57374,Yes
Female,23,78456,No
Male,56,140157,No
Male,22,38731,No
Female,58,144059,No
Male,35,120708,No
Male,48,35930,Yes
Female,32,84386,No
Male,41,108272,No
Male,31,135980,Yes
Male,31,90059,Yes
Male,52,118743,Yes
Male,30,76042,Yes
Female,38,76106,No
Male,53,129949,Yes
Female,29,36163,Yes
Male,47,90598,No
Male,53,133653,Yes
Male,31,111692,Yes
Female,41,111832,Yes
Male,45,45200,Yes
Male,40,20580,No
Male,30,123271,Yes
Female,36,148503,No
Female,41,99323,Yes
Female,44,61043,Yes
Male,60,51530,Yes
Male,42,21764,Yes
Female,58,117604,Yes
Male,55,105991,Yes
Male,35,93872,No
Male,22,104324,Yes
Male,21,82306,No
Female,52,74378,Yes
Female,32,130645,Yes
Female,58,99593,No
Female,34,31991,Yes
Female,46,144703,No
Male,28,103262,No
Female,51,117947,No
Female,26,62652,No
Male,59,127143,Yes
Female,35,89096,Yes
Female,37,95531,Yes
Female,31,44160,No
Female,38,76848,No
Male,51,31821,Yes
Female,30,36188,Yes
Male,28,75321,No
Male,50,139241,Yes
Male,34,147546,No
Female,34,137141,No
Female,43,88894,Yes
Male,60,115564,No
Male,38,107198,Yes
Male,46,50107,Yes
Female,28,25914,No
Male,32,90276,No
Female,22,53646,Yes
Male,48,77150,No
Female,46,124204,No
Male,46,98619,No
Male,36,133110,No
Female,39,23492,Yes
Male,31,86053,Yes
Male,20,60692,No
Male,44,46777,Yes
Male,56,87904,Yes
Female,40,76589,No
Male,32,55505,No
Male,44,115325,No
Female,21,28870,Yes
Male,53,31959,No
Female,22,48517,Yes
Female,41,40655,No
Male,52,99070,Yes
Female,54,22823,Yes
Female,43,44322,No
Male,22,72328,No
Male,58,80923,No
Male,57,97776,No
Male,25,115694,Yes
Male,37,131810,Yes
Male,54,136344,No
Female,22,34666,Yes
Male,46,89930,Yes
Female,19,57264,No
Male,36,89354,No
Male,32,82953,Yes
Female,39,49273,Yes
Male,52,145039,Yes
Male,31,128091,No
Male,41,122387,No
Female,36,142985,No
Male,55,52628,No
Female,26,24640,Yes
Male,58,55720,Yes
Female,58,132047,Yes
Female,35,113086,Yes
Female,51,92149,Yes
Female,36,133600,Yes
Female,59,76292,No
Female,51,54700,No
Male,59,72189,No
Female,51,146378,No
Female,54,99190,No
Male,42,59636,Yes
Male,37,72985,No
Female,45,135000,Yes
Female,31,75224,No
Female,41,54260,No
Male,32,125289,Yes
Female,32,64251,Yes
Female,58,91940,No
Male,41,99301,Yes
Male,51,40624,No
Female,28,75000,Yes
Male,20,101049,Yes
Male,57,149108,No
Female,52,120676,No
Female,20,52902,Yes
Female,40,53040,Yes
Female,23,82016,Yes
Female,27,30374,Yes
Male,44,42442,Yes
Male,54,42121,Yes
Female,47,70084,Yes
Male,31,82228,Yes
Male,23,83135,No
Male,27,46316,No
Male,35,63130,Yes
Female,41,127211,No
Female,25,75034,Yes
Female,44,65886,No
Female,27,52703,Yes
Male,39,23936,Yes
Male,53,119130,No
Female,56,139530,No
Female,48,64965,No
Female,22,60277,Yes
Male,18,80089,No
Male,36,86455,Yes
Female,24,131872,Yes
Male,32,148669,No
Female,58,65923,No
Female,31,73657,Yes
Female,48,129878,No
Male,51,23847,No
Female,19,117236,Yes
Male,29,30443,Yes
Female,47,81745,Yes
Male,23,92288,Yes
Female,46,112985,No
Female,40,68989,No
Male,55,52311,No
Male,26,67359,No
Female,48,68346,Yes
Female,46,134293,No
Female,19,73724,Yes
Male,29,46810,Yes
Female,32,118876,No
Female,56,50987,No
Male,57,86876,Yes
Female,57,141907,Yes
Male,52,71670,Yes
Female,23,142313,No
Female,26,73439,Yes
Female,18,132717,No
Female,22,38289,No
Male,21,40047,No
Female,58,114714,No
Female,24,102225,No
Male,32,55938,No
Female,48,72288,No
Male,52,88226,No
Female,33,89548,Yes
Female,42,132808,No
Female,38,147022,Yes
Male,38,129296,Yes
Male,60,137716,Yes
Female,25,93074,Yes
Male,37,140256,No
Female,26,112834,No
Male,60,94703,Yes
Male,44,127108,No
Male,23,131506,No
Female,36,34774,Yes
Male,57,68559,No
Female,42,141252,Yes
Male,19,121925,No
Female,46,57745,No
Male,55,55624,Yes
Female,22,36254,No
Female,33,46646,No
Female,32,141671,No
Male,21,120516,Yes
Male,53,33473,No
Male,50,57667,Yes
Female,43,144217,No
Female,28,138959,No
Female,60,147232,Yes
Female,48,86881,No
Female,31,107194,Yes
Male,21,43263,No
Male,20,107305,No
Male,28,84240,Yes
Male,58,86571,No
Male,36,89640,No
Male,25,46246,No
Male,38,102254,No
Female,30,42658,Yes
Female,32,142932,No
Male,35,58852,Yes
Male,23,75457,Yes
Female,54,70134,Yes
Female,40,142330,No
Female,34,92894,No
Female,34,88877,No
Female,32,38030,Yes
Female,52,29714,Yes
Female,20,107519,No
Male,57,50747,Yes
Female,38,33404,No
Male,37,132534,No
Male,48,116408,No
Female,55,26368,Yes
Male,23,85845,Yes
Male,37,77984,No
Male,23,32107,No
Female,59,40105,No
Male,47,41673,Yes
Female,53,125960,No
Female,20,36496,Yes
Female,49,109671,Yes
Male,59,58747,No
Female,46,103593,Yes
Female,24,72262,No
Female,36,61421,No
Male,42,109601,Yes
Male,35,100457,No
Female,20,110077,Yes
Female,19,91992,Yes
Female,57,143867,No
Male,32,125945,No
Male,32,130475,No
Female,34,133492,Yes
Male,28,73494,No
Male,35,128244,Yes
Male,36,26598,No
Female,39,83683,No
Female,38,26511,No
Male,60,110530,No
Male,36,104518,Yes
Male,58,60993,Yes
Female,41,54571,Yes
Female,36,36169,No
Female,28,24289,No
Male,46,43107,Yes
Female,20,85654,Yes
